#idx #GPU Q1 min max Q3 mean
0 3 6593.591064 6160.775014 6668.766522999999 6648.931156000001 6542.404519199999
1 6 13977.942531 13146.413468 14400.792501 14287.584641999998 13969.4503468
2 12 24015.339227 21344.207861000003 25781.74653 24362.528406 23923.2605732
3 18 31723.674946 27767.193644 35250.169176999996 34073.961368000004 32424.403011
4 36 42077.074176 38584.350905 44563.975431 44229.849956 42334.377379
5 72 62836.046211 56317.655684000005 67785.67101399999 67058.029482 63867.14778819999
6 108 80256.611765 74689.59581900001 86479.212423 85677.544574 82537.368158
